LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
91.438,2.0,2.0,MEDIUM,1.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,316.0
137.406,3.0,3.0,MEDIUM,1.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,206.0
120.888,4.0,4.0,MEDIUM,1.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,244.0
90.488,5.0,5.0,MEDIUM,1.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,316.0
142.502,6.0,6.0,MEDIUM,1.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,222.0
89.885,7.0,7.0,MEDIUM,1.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,319.0
89.149,10.0,2.0,SOFT,2.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,315.0
94.789,13.0,5.0,SOFT,3.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,0,296.0
93.226,14.0,6.0,SOFT,3.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,0,289.0
93.611,15.0,7.0,SOFT,3.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,0,294.0
93.592,16.0,8.0,SOFT,3.0,VER,2022,Pre-Season Track Session,FP2,35.0,25.0,0,314.0
93.807,4.0,3.0,MEDIUM,2.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,303.0
93.489,5.0,4.0,MEDIUM,2.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
93.539,6.0,5.0,MEDIUM,2.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,302.0
93.762,7.0,6.0,MEDIUM,2.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,300.0
93.451,8.0,7.0,MEDIUM,2.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
93.606,9.0,8.0,MEDIUM,2.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,320.0
93.486,10.0,9.0,MEDIUM,2.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,318.0
93.632,11.0,10.0,MEDIUM,2.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,301.0
94.388,14.0,2.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
94.806,15.0,3.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
95.015,16.0,4.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
94.994,17.0,5.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
94.973,18.0,6.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
94.996,19.0,7.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
94.87,20.0,8.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
94.963,21.0,9.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
94.826,22.0,10.0,MEDIUM,3.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
95.405,25.0,2.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
94.441,26.0,3.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,307.0
94.67,27.0,4.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,308.0
94.482,28.0,5.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,308.0
94.404,29.0,6.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,307.0
94.488,30.0,7.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
94.171,31.0,8.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
94.415,32.0,9.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
94.503,33.0,10.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
94.21,34.0,11.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
94.068,35.0,12.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,308.0
94.924,36.0,13.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,308.0
94.023,37.0,14.0,HARD,4.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,328.0
93.322,43.0,4.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,315.0
92.354,44.0,5.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,307.0
92.135,45.0,6.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
92.516,46.0,7.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,308.0
92.584,47.0,8.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,309.0
92.566,48.0,9.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
92.964,49.0,10.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,308.0
93.051,50.0,11.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
92.858,51.0,12.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
93.581,52.0,13.0,SOFT,5.0,VER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
103.536,2.0,2.0,TEST_UNKNOWN,1.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,1,298.0
101.085,3.0,3.0,TEST_UNKNOWN,1.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,1,299.0
100.239,4.0,4.0,TEST_UNKNOWN,1.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,1,299.0
100.643,7.0,2.0,TEST_UNKNOWN,2.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,299.0
100.07,8.0,3.0,TEST_UNKNOWN,2.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
99.575,9.0,4.0,TEST_UNKNOWN,2.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,297.0
102.79,12.0,7.0,TEST_UNKNOWN,3.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,297.0
102.91,13.0,8.0,TEST_UNKNOWN,3.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,292.0
103.554,14.0,9.0,TEST_UNKNOWN,3.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,295.0
102.706,15.0,10.0,TEST_UNKNOWN,3.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,301.0
102.914,16.0,11.0,TEST_UNKNOWN,3.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,298.0
102.905,17.0,12.0,TEST_UNKNOWN,3.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,299.0
102.046,20.0,7.0,TEST_UNKNOWN,4.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,298.0
102.09,21.0,8.0,TEST_UNKNOWN,4.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,296.0
102.913,22.0,9.0,TEST_UNKNOWN,4.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,299.0
102.297,23.0,10.0,TEST_UNKNOWN,4.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,299.0
102.096,24.0,11.0,TEST_UNKNOWN,4.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,298.0
101.883,25.0,12.0,TEST_UNKNOWN,4.0,VER,2022,Pre-Season Test,FP2,35.0,25.0,0,298.0
101.696,2.0,2.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,304.0
101.893,3.0,3.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,303.0
102.581,4.0,4.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,303.0
102.87,5.0,5.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,301.0
102.826,6.0,6.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,304.0
102.314,7.0,7.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
102.83,8.0,8.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
102.412,9.0,9.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
102.492,10.0,10.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,303.0
102.583,11.0,11.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,304.0
103.011,12.0,12.0,MEDIUM,1.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
102.424,15.0,2.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
101.905,16.0,3.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,306.0
102.483,17.0,4.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,304.0
101.378,26.0,13.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,303.0
101.505,27.0,14.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
101.538,28.0,15.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,307.0
101.045,29.0,16.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,306.0
101.184,30.0,17.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,307.0
101.411,31.0,18.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
101.338,32.0,19.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,306.0
101.721,33.0,20.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,306.0
101.242,34.0,21.0,HARD,2.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,304.0
99.541,37.0,2.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,327.0
100.211,38.0,3.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,331.0
100.337,39.0,4.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,329.0
100.108,40.0,5.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,302.0
100.077,41.0,6.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,304.0
100.01,42.0,7.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
99.776,43.0,8.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,305.0
100.41,44.0,9.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,304.0
99.986,45.0,10.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,306.0
99.945,46.0,11.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,302.0
100.058,47.0,12.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,310.0
100.271,48.0,13.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,309.0
100.23,49.0,14.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,311.0
100.83,50.0,15.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,333.0
100.152,51.0,16.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,309.0
100.431,52.0,17.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,310.0
100.297,53.0,18.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,310.0
100.168,54.0,19.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,311.0
100.674,55.0,20.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,306.0
100.654,56.0,21.0,MEDIUM,3.0,VER,2022,Pre-Season Test,R,35.0,25.0,1,309.0
93.621,2.0,2.0,MEDIUM,1.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,317.0
93.691,4.0,4.0,MEDIUM,1.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,315.0
91.936,7.0,2.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,314.0
97.165,11.0,6.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,290.0
97.132,12.0,7.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,293.0
97.137,13.0,8.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,302.77777777777777
97.743,14.0,9.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,302.77777777777777
97.498,15.0,10.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,302.77777777777777
97.618,16.0,11.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,296.0
97.818,17.0,12.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,295.0
97.512,18.0,13.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,312.0
97.624,19.0,14.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,293.0
97.88,2.0,5.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,296.0
98.357,3.0,6.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,294.0
98.566,4.0,7.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,297.0
98.877,5.0,8.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,293.0
98.94,6.0,9.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,288.0
99.062,7.0,10.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,289.0
99.092,8.0,11.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,290.0
99.251,9.0,12.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,288.0
99.392,10.0,13.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,297.3142857142857
99.479,11.0,14.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,289.0
99.41,12.0,15.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,294.0
99.534,13.0,16.0,SOFT,1.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,290.0
96.905,16.0,2.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,300.0
97.587,17.0,3.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,313.0
97.717,18.0,4.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,327.0
97.728,19.0,5.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,297.3142857142857
98.257,20.0,6.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,286.0
98.294,21.0,7.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,282.0
98.243,22.0,8.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,289.0
98.091,23.0,9.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,294.0
98.187,24.0,10.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,295.0
98.372,25.0,11.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,297.3142857142857
98.476,26.0,12.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,298.0
98.823,27.0,13.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,299.0
98.782,28.0,14.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,298.0
99.384,29.0,15.0,SOFT,2.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,297.3142857142857
96.527,32.0,2.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,294.0
96.347,33.0,3.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,299.0
96.384,34.0,4.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,302.0
96.731,35.0,5.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,301.0
96.92,36.0,6.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,304.0
96.962,37.0,7.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,302.0
96.898,38.0,8.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,304.0
97.255,39.0,9.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,302.0
97.308,40.0,10.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,297.3142857142857
97.284,41.0,11.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,297.3142857142857
97.855,42.0,12.0,MEDIUM,3.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,1,304.0
95.747,45.0,5.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,303.0
95.44,51.0,11.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,300.0
95.462,52.0,12.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,299.0
95.927,53.0,13.0,SOFT,4.0,VER,2022,Bahrain Grand Prix,R,35.0,25.0,0,303.0
91.29,2.0,2.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,1,328.0
146.391,3.0,3.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,1,75.0
90.551,4.0,4.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,1,327.0
90.214,6.0,6.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,1,324.0
131.677,9.0,2.0,SOFT,2.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,1,144.0
122.854,11.0,4.0,SOFT,2.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,1,283.0
95.516,14.0,9.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,298.0
95.73,15.0,10.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,299.0
95.123,16.0,11.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,300.0
95.098,17.0,12.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,300.0
103.273,18.0,13.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,117.0
94.478,19.0,14.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,304.0
95.238,20.0,15.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,297.0
97.334,21.0,16.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,299.0
148.75,22.0,17.0,MEDIUM,3.0,VER,2022,Saudi Arabian Grand Prix,FP2,35.0,25.0,0,167.0
95.275,2.0,2.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,302.0
94.89,3.0,3.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,304.0
94.7,4.0,4.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
94.809,5.0,5.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
94.84,6.0,6.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,309.0
94.634,7.0,7.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
94.821,8.0,8.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
94.832,9.0,9.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
95.252,10.0,10.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,306.0
94.959,11.0,11.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,305.0
95.191,12.0,12.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,303.0
94.982,13.0,13.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,303.0
95.093,14.0,14.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,305.0
95.37,15.0,15.0,MEDIUM,1.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,305.0
95.227,21.0,5.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,303.0
94.167,22.0,6.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,305.0
93.688,23.0,7.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
93.445,24.0,8.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,306.0
93.301,25.0,9.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,306.0
93.304,26.0,10.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,306.0
93.059,27.0,11.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,306.0
93.03,28.0,12.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,306.0
92.93,29.0,13.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,308.0
92.778,30.0,14.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
92.897,31.0,15.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,308.0
92.887,32.0,16.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,308.0
92.855,33.0,17.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
92.827,34.0,18.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
92.474,35.0,19.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,306.0
92.543,36.0,20.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,306.0
93.124,37.0,21.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,308.0
92.755,42.0,26.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,334.0
94.644,43.0,27.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,324.0
92.302,44.0,28.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,307.0
92.063,45.0,29.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,309.0
92.737,46.0,30.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,283.0
91.779,47.0,31.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,305.0
91.861,48.0,32.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,305.0
92.079,49.0,33.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,305.0
91.772,50.0,34.0,HARD,2.0,VER,2022,Saudi Arabian Grand Prix,R,35.0,25.0,1,313.0
93.5,2.0,2.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,319.0
97.093,3.0,3.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,215.0
80.985,4.0,4.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,318.0
79.812,7.0,2.0,SOFT,2.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,321.0
120.461,8.0,3.0,SOFT,2.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,240.0
79.386,9.0,4.0,SOFT,2.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,320.0
131.687,10.0,5.0,SOFT,2.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,243.0
84.516,11.0,6.0,SOFT,2.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,318.0
118.698,12.0,7.0,SOFT,2.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,175.0
79.223,13.0,8.0,SOFT,2.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,1,318.0
83.78,16.0,7.0,MEDIUM,3.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,0,278.0
83.465,17.0,8.0,MEDIUM,3.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,0,279.0
87.839,18.0,9.0,MEDIUM,3.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,0,280.0
82.92,19.0,10.0,MEDIUM,3.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,0,283.0
83.101,20.0,11.0,MEDIUM,3.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,0,280.0
83.858,21.0,12.0,MEDIUM,3.0,VER,2022,Australian Grand Prix,FP2,35.0,25.0,0,284.0
84.831,2.0,2.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,278.0
84.167,7.0,7.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,293.0
83.966,8.0,8.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,283.0
83.78,9.0,9.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,285.0
83.754,10.0,10.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,281.0
84.634,11.0,11.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,282.0
84.554,12.0,12.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,281.0
84.658,13.0,13.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,277.0
84.525,14.0,14.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,283.0
84.556,15.0,15.0,MEDIUM,1.0,VER,2022,Australian Grand Prix,R,35.0,25.0,1,285.0
